Id Mode logP wjh wjk whk wvj wvh wvk wij wih wik whvi ejh ejk ehk evj evh evk eij eih eik ehvi 
0831 FU 0.987 12.291 12.516 12.682 12.699 12.884 12.585 12.740 12.499 12.579 12.564 0.071 0.040 0.084 0.036 0.030 0.030 0.059 0.038 0.032 0.041 
0833 FU 0.875 12.784 12.983 13.130 13.199 13.394 13.063 13.237 12.994 13.054 13.064 0.063 0.036 0.075 0.033 0.027 0.027 0.056 0.035 0.029 0.039 
0835 FU 0.659 13.112 13.405 13.620 13.427 13.602 13.420 13.490 13.288 13.430 13.314 0.097 0.111 0.202 0.051 0.045 0.089 0.074 0.043 0.091 0.045 
0839 FO 0.341 13.950 14.158 14.312 14.397 14.524 14.244 14.457 14.185 14.240 14.228 0.149 0.083 0.168 0.070 0.064 0.060 0.096 0.065 0.062 0.064 
0843 FU 0.922 12.573 12.752 12.884 13.098 13.319 12.876 13.171 12.851 12.867 12.912 0.072 0.037 0.071 0.041 0.035 0.025 0.064 0.034 0.027 0.038 
0844 FU 1.236 11.454 11.683 11.851 11.789 11.992 11.727 11.810 11.620 11.720 11.692 0.099 0.037 0.095 0.044 0.039 0.024 0.067 0.050 0.027 0.051 
0846 FU 0.957 12.424 12.582 12.700 12.782 12.983 12.657 12.841 12.618 12.654 12.659 0.055 0.034 0.073 0.029 0.023 0.027 0.053 0.033 0.029 0.038 
0847 FU 1.315 11.618 11.755 11.857 11.959 12.193 11.833 12.046 11.817 11.836 11.836 0.088 0.037 0.084 0.043 0.037 0.024 0.066 0.043 0.027 0.045 
0848 FU 1.204 11.745 11.903 12.019 12.125 12.324 11.985 12.127 11.923 11.966 12.019 0.085 0.042 0.086 0.044 0.038 0.029 0.067 0.041 0.031 0.043 
0853 FU 0.481 13.834 14.217 14.499 14.470 14.703 14.312 14.479 14.133 14.291 14.274 0.151 0.070 0.158 0.065 0.060 0.049 0.090 0.070 0.051 0.068 
0858 FU 0.507 13.633 14.071 14.393 14.158 14.326 14.108 14.131 13.864 14.090 14.007 0.162 0.072 0.180 0.059 0.055 0.053 0.083 0.082 0.055 0.079 
0859 FO 0.494 13.310 13.653 13.904 13.768 13.910 13.698 13.769 13.523 13.686 13.625 0.105 0.049 0.121 0.039 0.035 0.037 0.062 0.056 0.039 0.056 
0860 FU 0.487 13.724 14.102 14.380 14.420 14.546 14.214 14.452 14.061 14.198 14.173 0.206 0.097 0.163 0.115 0.106 0.054 0.150 0.068 0.056 0.067 
0862 FU 0.483 13.479 13.921 14.245 13.910 14.126 13.926 13.921 13.685 13.924 13.784 0.126 0.057 0.144 0.045 0.041 0.043 0.068 0.066 0.045 0.065 
0863 FU 0.515 13.875 14.201 14.440 14.306 14.499 14.244 14.318 14.081 14.235 14.177 0.133 0.100 0.205 0.051 0.046 0.080 0.074 0.067 0.082 0.066 
0864 FO 0.278 14.295 14.455 14.573 14.659 14.804 14.529 14.701 14.484 14.523 14.531 0.129 0.078 0.162 0.057 0.052 0.059 0.081 0.061 0.061 0.060 
0865 FO 0.536 13.259 13.524 13.718 13.659 13.805 13.575 13.691 13.459 13.571 13.524 0.078 0.067 0.133 0.034 0.028 0.054 0.057 0.043 0.056 0.045 
0866 FU 0.538 13.762 13.986 14.150 14.128 14.291 14.040 14.167 13.950 14.036 14.005 0.164 0.075 0.168 0.071 0.066 0.051 0.097 0.076 0.053 0.073 
0870 FO 0.218 14.265 14.422 14.538 14.603 14.746 14.488 14.555 14.400 14.460 14.525 0.177 0.077 0.186 0.070 0.065 0.054 0.096 0.085 0.056 0.081 
0871 FU 0.959 12.514 12.802 13.014 12.964 13.173 12.865 13.001 12.740 12.858 12.818 0.064 0.052 0.104 0.031 0.024 0.042 0.054 0.037 0.044 0.040 
0880 FO 0.106 14.586 14.925 15.175 15.194 15.332 15.021 15.247 14.892 15.013 14.972 0.209 0.151 0.292 0.095 0.089 0.115 0.126 0.090 0.118 0.086 
0882 FU 0.680 13.242 13.580 13.829 13.849 13.997 13.677 13.931 13.561 13.676 13.616 0.110 0.066 0.146 0.041 0.036 0.052 0.064 0.058 0.054 0.058 
0884 FU 0.887 12.542 12.811 13.009 12.956 13.127 12.867 12.931 12.723 12.846 12.845 0.055 0.035 0.066 0.033 0.027 0.026 0.056 0.030 0.028 0.035 
0886 FU 0.642 13.421 13.699 13.904 13.852 14.011 13.757 13.885 13.636 13.751 13.707 0.067 0.049 0.104 0.027 0.021 0.040 0.051 0.041 0.042 0.043 
0887 FO 0.249 14.270 14.463 14.605 14.544 14.671 14.496 14.587 14.417 14.498 14.447 0.141 0.073 0.180 0.042 0.039 0.058 0.065 0.077 0.060 0.074 
0888 FU 0.972 12.323 12.583 12.774 12.765 12.953 12.652 12.790 12.540 12.641 12.625 0.055 0.032 0.063 0.033 0.027 0.024 0.056 0.030 0.027 0.035 
0895 FO 0.305 13.808 14.267 14.604 14.510 14.649 14.355 14.545 14.149 14.344 14.262 0.131 0.096 0.186 0.062 0.056 0.074 0.087 0.059 0.076 0.059 
0898 FO 0.356 13.900 14.105 14.256 14.178 14.348 14.136 14.155 14.019 14.121 14.116 0.148 0.080 0.173 0.062 0.057 0.059 0.087 0.070 0.061 0.068 
0899 FU 0.545 13.549 13.926 14.202 14.305 14.430 14.058 14.384 13.935 14.050 14.015 0.106 0.093 0.174 0.053 0.047 0.073 0.077 0.048 0.075 0.049 
0904 FU 0.421 14.217 14.397 14.530 14.700 14.866 14.505 14.695 14.439 14.479 14.554 0.110 0.079 0.168 0.039 0.035 0.064 0.062 0.059 0.066 0.059 
0905 FO 0.692 12.882 12.995 13.079 13.199 13.343 13.069 13.192 13.026 13.050 13.111 0.050 0.024 0.055 0.028 0.022 0.018 0.052 0.031 0.021 0.036 
0906 FO 0.244 14.144 14.443 14.663 14.504 14.646 14.470 14.495 14.307 14.460 14.400 0.161 0.094 0.205 0.061 0.056 0.072 0.085 0.080 0.074 0.077 
0908 FU 0.531 13.730 14.031 14.253 14.348 14.477 14.143 14.407 14.043 14.134 14.117 0.152 0.063 0.152 0.063 0.058 0.042 0.088 0.073 0.044 0.070 
0912 FO 0.152 14.219 14.649 14.965 14.798 14.971 14.707 14.689 14.438 14.664 14.665 0.223 0.088 0.235 0.076 0.072 0.062 0.103 0.112 0.064 0.105 
0915 FU 0.869 12.483 12.757 12.959 12.986 13.167 12.842 13.007 12.726 12.827 12.824 0.049 0.027 0.060 0.027 0.020 0.021 0.051 0.032 0.024 0.036 
0916 FO 0.137 14.477 14.826 15.082 14.923 15.089 14.866 14.902 14.675 14.849 14.797 0.268 0.118 0.286 0.100 0.095 0.083 0.132 0.129 0.085 0.121 
0919 FU 0.687 13.299 13.462 13.584 13.787 13.932 13.577 13.856 13.556 13.569 13.603 0.071 0.040 0.085 0.035 0.029 0.030 0.058 0.039 0.032 0.042 
0924 FO 0.470 13.451 13.622 13.748 13.911 14.035 13.724 13.956 13.685 13.713 13.744 0.060 0.037 0.079 0.031 0.024 0.029 0.054 0.035 0.031 0.039 
0926 FU 0.670 13.434 13.627 13.770 13.766 13.945 13.681 13.787 13.599 13.673 13.666 0.093 0.051 0.100 0.049 0.043 0.036 0.072 0.042 0.038 0.045 
0931 FU 0.764 12.939 13.134 13.278 13.395 13.541 13.227 13.426 13.165 13.214 13.240 0.063 0.037 0.077 0.033 0.027 0.028 0.056 0.035 0.030 0.039 
0935 FU 1.325 11.177 11.404 11.572 11.596 11.813 11.477 11.621 11.384 11.465 11.469 0.064 0.041 0.084 0.034 0.028 0.032 0.057 0.035 0.034 0.039 
0936 FU 0.921 12.463 12.746 12.953 12.919 13.109 12.812 12.936 12.683 12.799 12.778 0.066 0.035 0.076 0.033 0.027 0.026 0.056 0.037 0.028 0.040 
0938 FU 0.545 13.710 13.989 14.194 14.122 14.286 14.040 14.135 13.907 14.030 13.993 0.120 0.074 0.148 0.057 0.051 0.055 0.081 0.055 0.057 0.055 
0946 FO 0.668 12.736 12.985 13.169 13.110 13.267 13.034 13.124 12.916 13.025 12.994 0.046 0.032 0.061 0.030 0.023 0.025 0.053 0.028 0.027 0.034 
0947 FO 0.298 14.004 14.100 14.172 14.379 14.530 14.200 14.413 14.194 14.186 14.253 0.069 0.066 0.114 0.044 0.038 0.051 0.067 0.029 0.053 0.035 
0948 FO 0.310 13.937 14.214 14.418 14.426 14.562 14.291 14.449 14.175 14.279 14.260 0.090 0.065 0.129 0.042 0.037 0.051 0.065 0.045 0.053 0.047 
0949 FU 1.111 11.949 12.154 12.306 12.384 12.568 12.239 12.384 12.151 12.219 12.256 0.059 0.039 0.081 0.031 0.024 0.031 0.054 0.034 0.033 0.038 
0950 FO 0.181 14.209 14.675 15.017 15.085 15.173 14.817 15.177 14.655 14.810 14.739 0.182 0.154 0.300 0.075 0.070 0.122 0.102 0.085 0.125 0.081 
0957 FU 0.448 14.090 14.388 14.606 14.482 14.647 14.427 14.515 14.288 14.424 14.353 0.079 0.080 0.153 0.037 0.031 0.065 0.060 0.042 0.067 0.045 
0961 FU 0.569 13.581 13.804 13.969 14.111 14.261 13.913 14.132 13.836 13.894 13.934 0.149 0.083 0.174 0.066 0.060 0.061 0.091 0.068 0.063 0.067 
