id z_hel z_cmb dz m dm
5957 0.2803010046 0.2792299986 4.300000001e-05 21.50115 0.13265
5994 0.1869949996 0.1858099997 0.004999999888 20.48365 0.1298
6057 0.06705840677 0.06619153172 9.000000318e-06 17.9881 0.1134
6108 0.2594980001 0.2579999864 0.004999999888 21.2775 0.14285
6196 0.2813409865 0.2797999978 5.700000111e-05 21.2773 0.1398
6315 0.2669939995 0.2657600045 0.0 21.0609 0.1301
6422 0.1864500046 0.1850000024 3.300000026e-05 20.37525 0.1056
6558 0.05739210919 0.05703572556 1.999999949e-05 17.65695 0.1072
6924 0.3279980123 0.3264000118 0.0 21.6733 0.1464
7147 0.1102309003 0.1088732705 1.999999949e-05 19.1721 0.10285
7243 0.2046180069 0.2032299936 1.999999949e-05 20.7001 0.1382
7779 0.3811950088 0.3798600137 0.0 22.13745 0.1395
7847 0.212658003 0.2116000056 2.800000038e-05 20.68915 0.12295
8495 0.2149779946 0.213530004 1.499999962e-05 20.78295 0.1364
8921 0.1453810036 0.1440899968 2.599999971e-05 19.83575 0.113
9032 0.2539989948 0.2524900138 0.0 21.1678 0.16095
9457 0.2582260072 0.2567200065 4.300000001e-05 21.2758 0.1749
9467 0.2202659994 0.2188500017 2.800000038e-05 20.976 0.1685
12779 0.07994814217 0.07875318825 2.900000072e-05 18.5397 0.12205
12781 0.08431000262 0.08304723352 1.400000019e-05 18.7438 0.11605
12856 0.1716669947 0.1702799946 1.499999962e-05 20.2489 0.107
12881 0.2381020039 0.2366999984 3.799999831e-05 20.87655 0.14325
12883 0.3069970012 0.3056899905 0.0 21.3803 0.19765
12898 0.08357200027 0.08253999799 0.0005000000237 18.5179 0.1055
12927 0.1897719949 0.1889099926 2.200000017e-05 20.2039 0.1187
12950 0.08273362368 0.08135464787 1.499999962e-05 18.511 0.10425
12972 0.2579950094 0.256550014 0.0 21.2564 0.16145
13005 0.1272938997 0.1262305081 2.200000017e-05 19.58525 0.13485
13038 0.1039920002 0.102640003 0.004999999888 19.16175 0.1443
13044 0.1258984953 0.1245686486 3.500000093e-05 19.4784 0.1006
13136 0.3720540106 0.3704600036 4.700000136e-05 22.46065 0.1636
13152 0.2035419941 0.2021500021 1.899999916e-05 20.38595 0.11475
13254 0.180746004 0.1799000055 1.899999916e-05 20.68245 0.14335
13411 0.1629980057 0.1617999971 0.0005000000237 20.1359 0.1299
13578 0.2280009985 0.2266899943 0.0005000000237 20.8771 0.141
13610 0.2983059883 0.2968299985 1.100000009e-05 21.4449 0.1446
13689 0.2517650127 0.2502900064 0.0005000000237 21.20115 0.13305
13736 0.1502424031 0.1488582492 3.40000006e-05 19.91815 0.1063
13796 0.1487192959 0.1473135948 3.099999958e-05 19.776 0.10335
14019 0.2163999975 0.2151300013 0.0005000000237 21.20185 0.1483
14024 0.1459999979 0.1447799951 0.004999999888 19.8106 0.13965
14108 0.1329980046 0.1324300021 0.004999999888 19.9293 0.1333
14331 0.2211540043 0.219750002 1.70000003e-05 21.00055 0.1346
14397 0.3865270019 0.384920001 3.700000161e-05 22.40575 0.14945
14421 0.1750400066 0.173999995 2.700000005e-05 20.3461 0.1115
14451 0.1790020019 0.1778900027 0.0005000000237 20.20345 0.1224
14735 0.3004420102 0.299360007 2.499999937e-05 21.51975 0.1301
14871 0.1190000027 0.1184500009 0.0005000000237 19.44875 0.1339
14979 0.1770959944 0.1765300035 0.004999999888 20.2397 0.106
15057 0.2468439937 0.2455199957 1.299999985e-05 21.3752 0.1882
15129 0.197390005 0.1961099952 0.0001999999949 20.54825 0.11935
15161 0.2495480031 0.2485200018 4.600000102e-05 21.09655 0.1326
15213 0.3069939911 0.3063200116 0.0 21.77705 0.16135
15219 0.2474180013 0.2463700026 2.499999937e-05 21.1569 0.13055
15234 0.136392206 0.1351736486 2.200000017e-05 19.9671 0.1135
15259 0.2119980007 0.2105399966 9.999999747e-05 20.6402 0.1335
15287 0.237680003 0.2363000065 8.399999933e-05 21.1547 0.12315
15301 0.1798270047 0.1785099953 4.89999984e-05 20.37535 0.1134
15354 0.2220949978 0.2206799984 0.0005000000237 20.81795 0.15445
15383 0.3160539865 0.3149400055 6.500000018e-05 21.8201 0.1572
15421 0.185442999 0.1844300032 2.499999937e-05 20.55175 0.1118
15440 0.2622460127 0.2612900138 4.700000136e-05 21.2036 0.13865
15443 0.1819099933 0.1812299937 1.499999962e-05 20.21145 0.10535
15456 0.3821020126 0.3804799914 0.0 22.03255 0.1506
15461 0.1861629933 0.1848099977 0.004999999888 20.38765 0.1082
15467 0.2097779959 0.2084700018 9.999999747e-05 20.65465 0.12075
15583 0.1779939979 0.1770599931 0.0005000000237 20.33625 0.12905
15776 0.3169580102 0.3158200085 0.0 21.7168 0.15355
15868 0.2507080138 0.2497300059 3.199999992e-05 21.1676 0.1247
15901 0.204738006 0.2036799937 1.899999916e-05 20.6509 0.11955
16021 0.1246291995 0.1233922541 3.099999958e-05 19.4198 0.10285
16032 0.2039999962 0.2031800002 0.0005000000237 20.64385 0.12035
16073 0.1547130048 0.1533900052 1.70000003e-05 20.1226 0.10495
16093 0.3360269964 0.3343900144 0.0 21.9349 0.1592
16099 0.196943 0.1958000064 2.099999983e-05 20.5286 0.1151
16106 0.251199007 0.2497300059 0.0 21.0769 0.14445
16116 0.1564899981 0.1550900042 3.899999865e-05 20.0251 0.1063
16165 0.1569979936 0.1559599936 0.0 19.98785 0.12595
16206 0.1596985012 0.1583476961 2.800000038e-05 19.81685 0.12375
16211 0.3109849989 0.3093799949 8.099999832e-05 21.8114 0.19685
16213 0.2499990016 0.2485699952 0.0 21.1261 0.1388
16281 0.1865140051 0.1850699931 5.700000111e-05 20.31575 0.1235
17168 0.1851920038 0.1837600023 1.899999916e-05 20.5074 0.1247
17215 0.1813589931 0.1807900071 4.300000001e-05 20.37965 0.13765
17218 0.1783870012 0.1769600064 1.800000064e-05 20.28545 0.129
17220 0.1790200025 0.1776800007 3.199999992e-05 20.0718 0.12115
17240 0.07275325805 0.07159391791 1.999999949e-05 18.0121 0.1254
17366 0.139288798 0.1381115615 1.299999985e-05 19.66285 0.10475
